category,name,description,price,emoji
Coffee,Espresso,Rich and bold single shot of pure coffee,₹120,☕
Coffee,Cappuccino,Creamy froth with a perfect espresso base,₹180,☕
Coffee,Café Latte,Smooth milk with a gentle espresso kick,₹190,🥛
Coffee,Caramel Macchiato,Sweet caramel drizzled over velvety milk and espresso,₹220,🍯
Coffee,Cold Brew,Slow-steeped for 12 hours — smooth and refreshing,₹200,🧊
Coffee,Mocha,Chocolate meets espresso in a creamy embrace,₹230,🍫
Desserts,Tiramisu,Classic Italian layers of coffee-soaked bliss,₹280,🍰
Desserts,Chocolate Lava Cake,Warm molten center with a crispy shell,₹250,🎂
Desserts,Crème Brûlée,Silky custard with a caramelized sugar top,₹260,🍮
Desserts,Cheesecake,New York style with a buttery graham crust,₹240,🧁
Desserts,Brownie Sundae,Warm fudge brownie topped with vanilla ice cream,₹270,🍨
Snacks,Avocado Toast,Smashed avocado on sourdough with chili flakes,₹200,🥑
Snacks,Grilled Sandwich,Three-cheese melt with herbs on artisan bread,₹180,🥪
Snacks,Croissant,Buttery and flaky — baked fresh every morning,₹130,🥐
Snacks,Bagel & Cream Cheese,Toasted bagel with whipped cream cheese,₹160,🥯
Snacks,Truffle Fries,Crispy golden fries with truffle oil and parmesan,₹210,🍟
